name,case_disagreement,total_disagreement,pt1_disagreement,pt2_disagreement,pt3_disagreement,pt4_disagreement,pt5_disagreement,pt6_disagreement
layer1,0.9044444444444445,0.3742592592592593,0.5255555555555556,0.40111111111111114,0.34,0.31444444444444447,0.29777777777777775,0.3666666666666667
layer2,0.6611111111111111,0.19666666666666668,0.16666666666666666,0.18000000000000002,0.2588888888888889,0.19444444444444442,0.17555555555555558,0.20444444444444443
layer3,0.14666666666666664,0.024814814814814814,0.0011111111111111111,0.08222222222222222,0.025555555555555554,0.021111111111111112,0.0022222222222222222,0.016666666666666666
layer2_exclusive,0.7310612577516139,0.5252412456330638,0.31975619687484097,0.44905366518191975,0.761685784456183,0.6130135255635923,0.5878628539918863,0.5581072427402702
layer2_exclusive,0.21983359302283723,0.12595459596683586,0.006944444444444445,0.45158958001063265,0.10123552344914573,0.11164612223934257,0.011744281045751634,0.08057115493448261
