name,case_disagreement,total_disagreement,pt1_disagreement
layer1,0.26,0.26,0.26
layer2,0.1925,0.1925,0.1925
layer3,0.12416666666666666,0.12416666666666666,0.12416666666666666
layer2_exclusive,0.7403846153846154,0.7403846153846154,0.7403846153846154
layer2_exclusive,0.6450216450216449,0.6450216450216449,0.6450216450216449
