name,model-pt2,model-pt3,model-pt4,model-pt5,model-pt6,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall
LogisticRegression,,,,,,0.7482142857142857,0.7489856378982667,0.7487062202136432,0.7370553488379575,0.7622143072268399,0.7482142857142857,0.7489856378982667,0.7487062202136432,0.7370553488379575,0.7622143072268399
LinearRegression,,,,,,0.7417857142857143,0.7436598779536718,0.7662206545661474,0.6918856252808503,0.8606313500131103,0.7417857142857143,0.7436598779536718,0.7662206545661474,0.6918856252808503,0.8606313500131103
MultinomialNB,,,,,,0.6092857142857142,0.606983803761875,0.51243682030141,0.6669096288327057,0.41660568010679083,0.6092857142857142,0.606983803761875,0.51243682030141,0.6669096288327057,0.41660568010679083
GaussianNB,,,,,,0.7210714285714286,0.720966200965041,0.7136795411057278,0.7224094037425156,0.7056870690214302,0.7210714285714286,0.720966200965041,0.7136795411057278,0.7224094037425156,0.7056870690214302
KNeighborsClassifier,,,,,,0.7042857142857143,0.7048068713923061,0.7067123964033719,0.6919355549156838,0.7228833904412952,0.7042857142857143,0.7048068713923061,0.7067123964033719,0.6919355549156838,0.7228833904412952
KNeighborsRegressor,,,,,,0.6992857142857142,0.7011561873882208,0.7352893866862673,0.6495212610404051,0.8489409178230464,0.6992857142857142,0.7011561873882208,0.7352893866862673,0.6495212610404051,0.8489409178230464
DecisionTreeClassifier,,,,,,0.7357142857142858,0.7367517333961693,0.7496514540605247,0.7032687886640742,0.8034104915904356,0.7357142857142858,0.7367517333961693,0.7496514540605247,0.7032687886640742,0.8034104915904356
DecisionTreeRegressor,,,,,,0.7357142857142858,0.7367517333961693,0.7496514540605247,0.7032687886640742,0.8034104915904356,0.7357142857142858,0.7367517333961693,0.7496514540605247,0.7032687886640742,0.8034104915904356
RandomForestClassifier,,,,,,0.7521428571428571,0.7530346619630699,0.7554047677203053,0.7360816423917707,0.7768464441457164,0.7521428571428571,0.7530346619630699,0.7554047677203053,0.7360816423917707,0.7768464441457164
RandomForestRegressor,,,,,,0.7464285714285714,0.7467016373819579,0.7662940558209479,0.701486458075862,0.8449741590760789,0.7464285714285714,0.7467016373819579,0.7662940558209479,0.701486458075862,0.8449741590760789
SVC,,,,,,0.7539285714285715,0.7549542088505621,0.7615871375138307,0.7292362985383443,0.7981071436224332,0.7539285714285715,0.7549542088505621,0.7615871375138307,0.7292362985383443,0.7981071436224332
SVR,,,,,,0.7482142857142856,0.7502737135069039,0.7677814756200938,0.7048330886472268,0.8452871251765174,0.7482142857142856,0.7502737135069039,0.7677814756200938,0.7048330886472268,0.8452871251765174
CBF,,,,,,0.6467857142857143,0.6470769881671277,0.6486588013388331,0.6365160063873834,0.6623626251818366,0.6467857142857143,0.6470769881671277,0.6486588013388331,0.6365160063873834,0.6623626251818366
CF,,,,,,0.7392857142857143,0.7429347702738263,0.7907145397704317,0.6543045392842158,1.0,0.7392857142857143,0.7429347702738263,0.7907145397704317,0.6543045392842158,1.0
